기기,색상,가격대 ,화면 크기 ,구매처,,,,,,
삼성(SAMSUNG),실버(그레이),30만원 이상 - 100만원 미만 (저가),13-14인치,온라인(ex)공홈 및 도소매사이트),,,,,,
삼성(SAMSUNG),실버(그레이),100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
엘지(LG),흰색,100만원 이상 - 150만원 미만 (평균),17인치 이상,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),실버(그레이),150만원 이상 (고가),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
엘지(LG),검은색,30만원 이상 - 100만원 미만 (저가),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),실버(그레이),150만원 이상 (고가),17인치 이상,온라인(ex)공홈 및 도소매사이트),,,,,,
삼성(SAMSUNG),실버(그레이),150만원 이상 (고가),15-16인치,"오프라인 (ex)하이마트,디지털프라자 등)",,,,,,
엘지(LG),실버(그레이),100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
엘지(LG),실버(그레이),100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
삼성(SAMSUNG),"독특한 색상 (기타 색상 ex)레드,그린,블루 등)",30만원 이상 - 100만원 미만 (저가),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),흰색,100만원 이상 - 150만원 미만 (평균),13-14인치,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),실버(그레이),100만원 이상 - 150만원 미만 (평균),13-14인치,"오프라인 (ex)하이마트,디지털프라자 등)",,,,,,
엘지(LG),실버(그레이),30만원 이상 - 100만원 미만 (저가),15-16인치,"오프라인 (ex)하이마트,디지털프라자 등)",,,,,,
애플(Apple),실버(그레이),150만원 이상 (고가),17인치 이상,온라인(ex)공홈 및 도소매사이트),,,,,,
삼성(SAMSUNG),검은색,100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
엘지(LG),검은색,100만원 이상 - 150만원 미만 (평균),15-16인치,"오프라인 (ex)하이마트,디지털프라자 등)",,,,,,
삼성(SAMSUNG),실버(그레이),100만원 이상 - 150만원 미만 (평균),15-16인치,"오프라인 (ex)하이마트,디지털프라자 등)",,,,,,
애플(Apple),흰색,100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
엘지(LG),흰색,100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),실버(그레이),100만원 이상 - 150만원 미만 (평균),13-14인치,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),"독특한 색상 (기타 색상 ex)레드,그린,블루 등)",100만원 이상 - 150만원 미만 (평균),13-14인치,온라인(ex)공홈 및 도소매사이트),,,,,,
삼성(SAMSUNG),검은색,100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
애플(Apple),실버(그레이),100만원 이상 - 150만원 미만 (평균),15-16인치,온라인(ex)공홈 및 도소매사이트),,,,,,
,,,,,,,,,,
